Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,RH_type,id
2004-03-10,18:00:00,2.6,1360.0,150,11.881723488680304,1045.5,166.0,1056.25,113.0,1692.0,1267.5,13.599999904633,0.7577538251293606,Ideal,1
2004-03-10,19:00:00,2.0,1292.25,112,9.397164889581603,954.75,103.0,1173.75,92.0,1558.75,972.25,13.299999952316,0.7254874492424674,Ideal,2
2004-03-10,20:00:00,2.2,1402.0,88,8.997816871326798,939.25,131.0,1140.0,114.0,1554.5,1074.0,11.900000095367,0.7502390673981953,Slightly Elevated,3
2004-03-10,21:00:00,2.2,1375.5,80,9.228796421407274,948.25,172.0,1092.0,122.0,1583.75,1203.25,11.0,0.7867125330859253,Slightly Elevated,4
2004-03-10,22:00:00,1.6,1272.25,51,6.518223669074141,835.5,131.0,1205.0,116.0,1490.0,1110.0,11.150000095367,0.7887942318667593,Slightly Elevated,5
2004-03-10,23:00:00,1.2,1197.0,38,4.741012362478748,750.25,89.0,1336.5,96.0,1393.0,949.25,11.175000190735,0.7847716643397448,Slightly Elevated,6
2004-03-11,00:00:00,1.2,1185.0,31,3.624399189797516,689.5,62.0,1461.75,77.0,1332.75,732.5,11.324999809265,0.7603119392843289,Slightly Elevated,7
2004-03-11,01:00:00,1.0,1136.25,31,3.3266769916607997,672.0,62.0,1453.25,76.0,1332.75,729.5,10.674999952316,0.7702384578230451,Slightly Elevated,8
2004-03-11,02:00:00,0.9,1094.0,24,2.3394161950867094,608.5,45.0,1579.0,60.0,1276.0,619.5,10.650000095367,0.7648187256861201,Slightly Elevated,9
2004-03-11,03:00:00,0.6,1009.75,19,1.6966582576513223,560.75,-200.0,1705.0,-200.0,1234.75,501.25,10.250000238419,0.7516571648306898,Elevated,10
2004-03-11,04:00:00,-200.0,1011.0,14,1.2936197573720989,526.75,21.0,1817.5,34.0,1196.75,445.25,10.075000047684,0.7464945161292466,Elevated,11
2004-03-11,05:00:00,0.7,1066.0,8,1.1334305711878574,512.0,16.0,1918.0,28.0,1182.0,421.75,10.999999761581,0.7365596001806396,Slightly Elevated,12
2004-03-11,06:00:00,0.7,1051.75,16,1.6037678797288073,553.25,34.0,1738.25,48.0,1221.25,471.5,10.450000047684,0.7352950830247281,Slightly Elevated,13
2004-03-11,07:00:00,1.1,1144.0,29,3.2436181473100727,667.0,98.0,1489.75,82.0,1339.0,729.75,10.200000047684,0.7417361628563275,Slightly Elevated,14
2004-03-11,08:00:00,2.0,1333.25,64,8.013772987090615,899.75,174.0,1136.0,112.0,1517.0,1101.5,10.75,0.7407945757399766,Slightly Elevated,15
2004-03-11,09:00:00,2.2,1351.0,87,9.540642925320222,960.25,129.0,1079.0,101.0,1582.75,1027.75,10.5,0.7691107927579083,Elevated,16
2004-03-11,10:00:00,1.7,1233.25,77,6.335782437222818,827.25,112.0,1218.0,98.0,1445.75,859.75,10.799999952316,0.7551830826522904,Slightly Elevated,17
2004-03-11,11:00:00,1.5,1178.75,43,4.971583761462568,762.0,95.0,1327.5,92.0,1361.75,670.5,10.499999761581,0.7351607796315153,Slightly Elevated,18
2004-03-11,12:00:00,1.6,1236.0,61,5.216918999884966,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,0.7950537885142038,Elevated,19
2004-03-11,13:00:00,1.9,1285.5,63,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,0.8392680677502771,High,20
2004-03-11,14:00:00,2.9,1371.0,164,11.539007213563714,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,0.8735885336185425,High,21
2004-03-11,15:00:00,2.2,1310.0,79,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,0.8777844450980445,High,22
2004-03-11,16:00:00,2.2,1291.75,95,8.301413416761816,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,0.8569381279436317,High,23
2004-03-11,17:00:00,2.9,1383.0,150,11.151581216129403,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.7750000953674,0.8185012074753434,Elevated,24
2004-03-11,18:00:00,4.8,1580.75,307,20.799216861460543,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.349999904633,0.806543633173666,Elevated,25
2004-03-11,19:00:00,6.9,1775.5,461,27.359807493586764,1487.75,383.0,702.25,172.0,2332.5,1704.0,9.6500000953674,0.8319211444100879,Elevated,26
2004-03-11,20:00:00,6.1,1640.0,401,24.017756935949226,1404.0,351.0,742.75,165.0,2191.25,1653.75,9.6499998569489,0.8133139353625914,Elevated,27
2004-03-11,21:00:00,3.9,1312.75,197,12.779368248758171,1076.25,240.0,957.25,136.0,1706.5,1284.75,9.125,0.7419242244892506,Elevated,28
2004-03-11,22:00:00,1.5,964.5,61,4.707071919244755,748.5,94.0,1325.25,85.0,1332.5,821.0,8.1750001907349,0.6904844466414399,Elevated,29
2004-03-11,23:00:00,1.0,912.75,26,2.6457215096105893,629.25,47.0,1564.5,53.0,1252.25,551.75,8.2499998807907,0.6657443604063102,Elevated,30
2004-03-12,00:00:00,1.7,1080.25,55,5.85480151426304,805.0,122.0,1253.5,97.0,1375.0,815.5,8.3250002861023,0.6437636096330573,Slightly Elevated,31
2004-03-12,01:00:00,1.9,1043.75,53,6.37429750967153,829.0,133.0,1247.25,110.0,1378.25,831.5,7.7250001430511,0.6307660602738635,Slightly Elevated,32
2004-03-12,02:00:00,1.4,987.75,40,4.132341795103469,718.0,82.0,1395.5,91.0,1303.5,691.5,7.125,0.6275973687868803,Elevated,33
2004-03-12,03:00:00,0.8,888.75,21,1.8694446351370275,574.25,-200.0,1680.25,-200.0,1187.0,512.0,6.9750000238419,0.6261075278097894,Elevated,34
2004-03-12,04:00:00,-200.0,831.0,10,1.0682926116418547,505.75,21.0,1892.75,32.0,1133.75,384.0,6.1000000238419,0.6247536319724682,Elevated,35
2004-03-12,05:00:00,0.6,847.25,7,1.0224145989759525,501.25,30.0,1894.5,44.0,1154.75,394.0,6.2749999761581,0.6232823211022999,Elevated,36
2004-03-12,06:00:00,0.8,927.0,17,1.8304312258349797,571.25,56.0,1684.75,71.0,1222.75,486.5,6.75,0.6234275392144519,Elevated,37
2004-03-12,07:00:00,1.4,1090.5,33,4.359340996864498,730.25,109.0,1387.0,104.0,1360.75,748.25,6.4499999284744,0.6316281144389537,Elevated,38
2004-03-12,08:00:00,4.4,1587.0,202,17.865586704833834,1235.5,307.0,896.5,141.0,1900.25,1400.25,7.3250000476837,0.6499331393073879,Elevated,39
2004-03-12,09:00:00,-200.0,1544.5,-200,22.074162063223632,1353.0,-200.0,767.25,-200.0,2058.0,1587.75,9.2250000238419,0.6560651189171942,Slightly Elevated,40
2004-03-12,10:00:00,3.1,1350.25,208,14.02701136675159,1117.5,187.0,912.0,122.0,1711.75,1237.0,13.224999904633,0.6319501309937225,Ideal,41
2004-03-12,11:00:00,2.7,1262.75,166,11.645646559704057,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.325000047684,0.6243042942153901,Ideal,42
2004-03-12,12:00:00,2.1,1206.25,114,10.224662143952827,986.0,143.0,1034.5,113.0,1537.0,959.0,15.025000095367,0.6195323226057363,Ideal,43
2004-03-12,13:00:00,2.5,1251.5,140,11.039936039300839,1015.75,160.0,1007.5,116.0,1592.75,983.0,16.100000143051,0.6261647401566796,Ideal,44
2004-03-12,14:00:00,2.7,1287.0,169,12.816446196415624,1077.5,163.0,948.75,123.0,1660.25,1060.75,16.275000572205,0.6560306119627572,Ideal,45
2004-03-12,15:00:00,2.9,1352.75,185,14.173851177910128,1122.25,190.0,921.75,126.0,1740.0,1139.25,15.825000047684,0.6609611395034868,Ideal,46
2004-03-12,16:00:00,2.8,1309.0,165,12.690568103372724,1073.25,178.0,954.0,120.0,1657.25,1112.25,15.874999761581,0.6657285250911997,Ideal,47
2004-03-12,17:00:00,2.4,1274.0,133,11.738405416264687,1040.5,150.0,1005.75,119.0,1609.75,993.75,16.875000238419,0.6549085143270723,Ideal,48
2004-03-12,18:00:00,3.9,1509.5,233,19.290974886272963,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.149999856949,0.6766265078085045,Ideal,49
2004-03-12,19:00:00,3.7,1525.25,242,18.226178291697384,1246.0,202.0,821.0,145.0,1846.75,1447.75,14.399999856949,0.7084497598177374,Ideal,50
2004-03-12,20:00:00,6.6,1843.0,488,32.55627834707047,1609.75,340.0,624.0,170.0,2390.25,1886.5,12.875,0.7478032188508966,Slightly Elevated,51
2004-03-12,21:00:00,4.4,1597.75,333,20.092943564494178,1299.0,274.0,752.0,149.0,1940.5,1626.75,12.149999856949,0.7536202227825304,Slightly Elevated,52
2004-03-12,22:00:00,3.5,1483.5,215,14.321342422629458,1127.0,253.0,839.0,139.0,1723.0,1491.0,10.975000143051,0.7739800033862854,Slightly Elevated,53
2004-03-12,23:00:00,5.4,1677.25,367,21.81286506943192,1346.0,300.0,740.5,134.0,2062.0,1657.0,9.6749999523163,0.7770739425473616,Elevated,54
2004-03-13,00:00:00,2.7,1279.5,122,9.638999814518419,964.0,193.0,962.5,113.0,1543.5,1285.25,9.4500002861023,0.7597465282359432,Elevated,55
2004-03-13,01:00:00,1.9,1196.25,67,7.375139467546298,873.0,139.0,1071.25,97.0,1463.25,1144.25,9.1499998569489,0.7422764129225364,Elevated,56
2004-03-13,02:00:00,1.6,1183.75,43,5.369604169687442,781.75,83.0,1176.25,82.0,1364.5,1042.75,8.7999999523163,0.7256153712649386,Elevated,57
2004-03-13,03:00:00,1.7,1171.75,46,5.390103939543701,782.75,-200.0,1178.5,-200.0,1379.75,995.5,7.8000000715256,0.7173121148941005,Elevated,58
2004-03-13,04:00:00,-200.0,1147.0,56,6.199041963295953,821.0,109.0,1132.25,83.0,1411.75,991.5,7.0,0.7157784693036635,High,59
2004-03-13,05:00:00,1.0,978.25,30,2.577932199377853,624.75,62.0,1420.25,65.0,1274.25,819.25,8.2999999523163,0.6981546204756909,Elevated,60
2004-03-13,06:00:00,1.2,1099.5,27,2.908548009422834,646.25,53.0,1406.25,60.0,1267.5,835.0,7.2000000476837,0.6886721470838881,Elevated,61
2004-03-13,07:00:00,1.5,1112.25,47,5.136255828724421,770.25,139.0,1228.0,77.0,1408.5,939.75,6.3499999046326,0.6931985587343715,High,62
2004-03-13,08:00:00,2.7,1335.5,132,11.817138600992351,1043.25,256.0,935.25,96.0,1678.0,1191.75,6.450000166893,0.6944754797176015,High,63
2004-03-13,09:00:00,3.7,1408.3333333333,239,15.140161198407567,1153.0,295.0,830.33333333333,119.0,1776.6666666667,1411.0,9.5666666030884,0.7123665611992754,Slightly Elevated,64
2004-03-13,10:00:00,3.2,1447.0,160,12.913063095907157,1080.75,250.0,868.5,126.0,1666.75,1465.0,12.375,0.7334583850640767,Slightly Elevated,65
2004-03-13,11:00:00,4.1,1541.5,283,16.133508844949027,1183.75,296.0,808.25,158.0,1779.75,1582.5,15.649999856949,0.7450937577774329,Ideal,66
2004-03-13,12:00:00,3.6,1451.25,210,14.019301019815009,1117.25,239.0,875.25,161.0,1679.25,1387.25,18.400000095367,0.708963570176462,Ideal,67
2004-03-13,13:00:00,2.8,1328.25,154,12.279664077200536,1059.25,153.0,986.5,124.0,1599.5,1100.5,19.35000038147,0.6950081047527402,Ideal,68
2004-03-13,14:00:00,2.0,1206.5,112,8.618412576532277,924.25,118.0,1087.75,102.0,1488.25,849.75,18.02499961853,0.7126738741944919,Ideal,69
2004-03-13,15:00:00,2.0,1239.5,108,9.196566740238417,947.0,119.0,1049.0,116.0,1531.75,947.0,18.375,0.704207020809635,Ideal,70
2004-03-13,16:00:00,2.5,1306.0,111,10.244887084344466,986.75,138.0,1004.0,124.0,1554.0,1078.0,17.625,0.7012032509364389,Ideal,71
2004-03-13,17:00:00,2.3,1326.0,97,10.611844460473737,1000.25,148.0,975.5,125.0,1601.5,1083.75,16.675000190735,0.7117364038435915,Ideal,72
2004-03-13,18:00:00,3.2,1472.75,191,15.452209964915284,1162.75,227.0,830.5,148.0,1779.0,1394.75,16.099999904633,0.7451314943585404,Ideal,73
2004-03-13,19:00:00,4.2,1609.0,258,19.636784663917272,1286.25,277.0,757.5,165.0,1922.0,1611.5,15.825000047684,0.7569143276676089,Ideal,74
2004-03-13,20:00:00,4.2,1610.75,284,19.202727916183612,1274.0,279.0,754.25,161.0,1915.0,1697.25,15.650000095367,0.7786406550707863,Ideal,75
2004-03-13,21:00:00,4.2,1620.5,269,18.269310357149713,1247.25,283.0,762.0,159.0,1860.0,1885.5,15.325000047684,0.8091244285768237,Ideal,76
2004-03-13,22:00:00,3.1,1444.25,180,13.14470430189378,1088.5,214.0,844.0,143.0,1747.5,1623.75,14.649999856949,0.8059694141072296,Ideal,77
2004-03-13,23:00:00,2.6,1418.0,116,10.873367154415865,1009.75,172.0,892.0,130.0,1603.0,1536.25,14.700000286102,0.8193361244198358,Ideal,78
2004-03-14,00:00:00,2.9,1533.5,93,10.963457959141822,1013.0,190.0,888.5,129.0,1610.75,1534.75,13.949999809265,0.8497717204331877,Slightly Elevated,79
2004-03-14,01:00:00,2.8,1483.5,131,11.86017851848332,1044.75,174.0,879.75,119.0,1624.25,1529.75,14.649999856949,0.8536231326791223,Slightly Elevated,80
2004-03-14,02:00:00,2.5,1366.75,92,8.624678823055866,924.5,128.0,952.5,104.0,1543.0,1337.0,12.549999952316,0.8537400738793904,Slightly Elevated,81
