,0
0,Ideal
1,Slightly Elevated
2,Slightly Elevated
3,Slightly Elevated
4,Slightly Elevated
5,Slightly Elevated
6,Slightly Elevated
7,Ideal
8,Ideal
9,Dry
10,Dry
11,Dry
12,Dry
13,Dry
14,Dry
15,Dry
16,Ideal
17,Ideal
18,Ideal
19,Ideal
20,Ideal
21,Ideal
22,Ideal
23,Ideal
24,Ideal
25,Ideal
26,Ideal
27,Ideal
28,Ideal
29,Slightly Elevated
30,Slightly Elevated
31,Ideal
32,Ideal
33,Ideal
34,Dry
35,Dry
36,Dry
37,Dry
38,Dry
39,Dry
40,Dry
41,Dry
42,Dry
43,Dry
44,Dry
45,Dry
46,Dry
47,Dry
48,Dry
49,Dry
50,Dry
51,Dry
52,Dry
53,Dry
54,Dry
55,Dry
56,Dry
57,Dry
58,Dry
59,Dry
60,Dry
61,Dry
62,Dry
63,Dry
64,Dry
65,Dry
66,Dry
67,Dry
68,Dry
69,Dry
70,Dry
71,Dry
72,Dry
73,Dry
74,Dry
75,Dry
76,Dry
77,Dry
78,Dry
79,Dry
80,Dry
81,Dry
82,Dry
83,Dry
84,Dry
85,Dry
86,Dry
87,Dry
88,Dry
89,Dry
90,Dry
91,Dry
92,Dry
93,Dry
94,Dry
95,Dry
96,Dry
97,Dry
98,Dry
99,Dry
100,Dry
101,Dry
102,Dry
103,Dry
104,Dry
105,Dry
106,Dry
107,Dry
108,Dry
109,Dry
110,Dry
111,Dry
112,Dry
113,Dry
114,Dry
115,Slightly Elevated
116,Slightly Elevated
117,Elevated
118,Elevated
119,Elevated
120,Elevated
121,Elevated
122,Elevated
123,Elevated
124,Elevated
125,Elevated
126,Elevated
127,Elevated
128,Elevated
129,Slightly Elevated
130,Slightly Elevated
131,Slightly Elevated
132,Slightly Elevated
133,Slightly Elevated
134,Slightly Elevated
135,Slightly Elevated
136,Slightly Elevated
137,Slightly Elevated
138,Slightly Elevated
139,Slightly Elevated
140,Elevated
141,Elevated
142,Elevated
143,Elevated
144,Elevated
145,Elevated
146,Elevated
147,High
148,Elevated
149,High
150,High
151,High
152,Elevated
153,Elevated
154,Slightly Elevated
155,Ideal
156,Ideal
157,Dry
158,Dry
159,Ideal
160,Ideal
161,Ideal
162,Ideal
163,Ideal
164,Ideal
165,Slightly Elevated
166,Slightly Elevated
167,Slightly Elevated
168,Slightly Elevated
169,Elevated
170,Elevated
171,Elevated
172,Elevated
173,Ideal
174,Ideal
175,Ideal
176,Dry
177,Dry
178,Dry
179,Dry
180,Dry
181,Dry
182,Dry
183,Dry
184,Dry
185,Dry
186,Dry
187,Dry
188,Dry
189,Ideal
190,Ideal
191,Ideal
192,Ideal
193,Ideal
194,Ideal
195,Ideal
196,Ideal
197,Ideal
198,Ideal
